vp	file	rhotic_label	rhotic_start	rhotic_end	rhotic_dur	rhotic_mid	no_closures_total	rhotic_centre_of_gravity	rhotic_sd	rhotic_skewness	rhotic_kurtosis	rhotic_central_moment	rhotic_intensity	rhotic_intensity_norm
23	vp023_Ohne_Routine0	a_t_2_v	1.0609349227340208	1.1507408017046263	0.08980587897060555	0.6202733403376159	1	3891.95	3698.11	0.76	-0.9	38383669981.24	72.92	79.96
23	vp023_Ohne_Rudel0	a_t_2_v	1.1699787275370384	1.26712	0.09714127246296167	0.6821306362314808	1	2422.28	2903.55	1.61	1.54	39442822928.27	72.55	80.64
23	vp023_Ohne_Ruecken0	a_t_2_v	0.9617108081169534	1.051366362113381	0.08965555399642766	0.5705109580549044	1	658.03	476.32	13.43	223.38	1451471893.81	71.76	78.46
23	vp023_Ohne_Ruf0	a_t_2_v	1.1446720178232819	1.23712	0.09244798217671812	0.6647839910883591	1	3603.59	3542.84	1.05	-0.36	46891524461.76	70.45	79.98
23	vp023_Ohne_Schaedelfraktur0	a_t_2_v	1.4675466246759086	1.5163056294579993	0.04875900478209072	0.782532317120045	1	1392.14	981.16	3.08	17.68	2909885717.07	72.07	80.39
23	vp023_Ohne_Schildkroete0	a_t_2_v	1.4246964809758487	1.4654226449699748	0.0407261639941261	0.7530744044820504	1	1154.54	1149.01	4.35	20.65	6600473936.69	70.25	80.65
23	vp023_Ohne_Schrei0	a_t_2_v	1.2129280261551507	1.2873903921939907	0.07446236603883993	0.6809263791164153	1	2696.82	2677.85	1.74	2.17	33439923790.61	70.54	81.41
23	vp023_Ohne_Schrotflinte0	a_t_2_v	0.910328017297298	0.97712	0.06679198270270204	0.521955991351351	1	674.42	303.46	11.35	186.5	317119032.29	72.03	82.87
23	vp023_Ohne_Schrott0	a_t_2_v	0.9943569299297219	1.0663978150304803	0.07204088510075835	0.5692193500656193	1	2377.15	3016.05	1.85	2.3	50726366847.54	73.46	82.38
23	vp023_Ohne_Surfbrett0	a_t_2_u	1.349249350630275	1.4126416514744087	0.06339230084413372	0.7380169761592712	1	1099.47	1057.93	3.83	19.49	4537451406.07	70.61	77.67
23	vp023_Ohne_Traenen0	a_t_2_v	1.197538585650082	1.273287562521783	0.07574897687170101	0.674518269696742	1	1071.92	1848.18	4.32	18.55	27256924844.64	73.39	80.78
